index,words,jyutping,meanings,note,category_1,category_2,category_3
64,僆□,leng1 keng1,【貶】年輕人（含有不懂事、沒能力的意思）。咁大件事就交畀呢班～嚟做？（這麼大的事就交給這幫毛頭小子來做？）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
65,鼻涕蟲,bei6 tai3 cung4,【喻】【謔】掛著鼻涕的小孩。“寧欺白髮公，莫欺～。”（諺語，意為萬勿輕視年紀小的人，或後生可畏。）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
66,大個仔,dai6 go3 zai2,長大了、懂事的孩子（指男孩；與還很小、不懂事的孩子相對而言）。你係～嚟喇，唔好叫阿媽咁霎氣啦！（你已經長大了，別讓媽媽為你那麼操心啦！）,[參見“大個”、“細個仔”],一、人物,一B男女老少,一B1孩子、男孩子、青少年
67,佃個仔,sai3 go3 zai2,年紀小、不懂事的小孩子（細：小。一般指男孩；與長大了、懂事的孩子相對而言）。你都讀六年級喇，讓下啲～啦！（你都讀六年級了，讓一下小弟弟吧！）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
68,*阿（亞）哥,aa3 go1,【敬】對男青年的尊稱。,[重見一C3],一、人物,一B男女老少,一B1孩子、男孩子、青少年
69,哥記,go1 gei3,【敬】對年輕男性的稱呼（一般是對不相識者）。～，借個火喇！（老兄，借個火兒。）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
70,*細佬,sai3 lou2,【俗】本義是弟弟，用作對年紀比自己輕的人（一般是年輕人）的稱呼，略帶輕視的口吻。～，識做啲先得！（小兄弟，要識相點兒嘛！）,[重見一C3],一、人物,一B男女老少,一B1孩子、男孩子、青少年
71,世侄,sai3 zat6,①【舊】舊時對通家後輩、朋友的兒子的稱呼。②上年紀的人（一般是男性）對晚輩男性的稱呼，略帶輕視口吻。～，有啲嘢你仲要學咧！（年輕人，有些東西你還要學哩！）,[參見“世伯”],一、人物,一B男女老少,一B1孩子、男孩子、青少年
72,衰仔,seoi1 zai2,【詈】罵男孩子的稱呼，常用於罵自家的孩子，語氣可輕可重。你個～，我打死你！（你這兔崽子，我打死你！）│個～咁晏仲唔翻嚟屋企。（這小子這麼晚還不回家來。）,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
73,壽仔,sau6 zai2,【昵】小傻瓜（用於對小男孩的親昵的稱呼）。,,一、人物,一B男女老少,一B1孩子、男孩子、青少年
74,*傻仔,so4 zai2,【昵】小傻瓜（用於對小男孩的親呢的稱呼）,[重見一D3、一F4],一、人物,一B男女老少,一B1孩子、男孩子、青少年
75,*女1,neoi5-2,詞尾，用於年輕女性。靚～（漂亮姑娘）│叻～（能幹的姑娘）冇”（樣樣都沒有）同音，所以忌諱，故改稱“～”。重見一C2]│傻～（傻姑娘）,[重見一C4、一E21、三A19],一、人物,一B男女老少,一B2女孩子、女青年
76,*妹1,mui6-1,詞尾，用於年輕女性。學生～（女學生）│上海～（上海姑娘）,,一、人物,一B男女老少,一B2女孩子、女青年
77,女仔,neoi5 zai2,女孩子（視情況的不同，可以指嬰幼兒，也可以指青少年，指青少年時略帶親切口吻）。～好湊過男仔。（女孩比男孩好帶。）│有幾個～中意佢，佢都唔知揀邊個好。（有幾個女孩喜歡他，他都不知挑哪個好。）,,一、人物,一B男女老少,一B2女孩子、女青年
78,細路女,sai3 lou6 neoi5-2,小女孩。,[參見“細路”],一、人物,一B男女老少,一B2女孩子、女青年
79,後生女,hau6 saang1 neoi5-2,青年女子。,[參見“後生”],一、人物,一B男女老少,一B2女孩子、女青年
80,僆女1,leng1 neoi5-2,女孩子，姑娘（略帶輕蔑口吻）。一個～識乜嘢！（一個小女孩懂甚麼！）,,一、人物,一B男女老少,一B2女孩子、女青年
81,褸𩬎妹,lau1 jan4 mui6-2,小姑娘；處女（褸：披；𩬎：額前的劉海）。,,一、人物,一B男女老少,一B2女孩子、女青年
82,妹豬,mui6-1 zyu1,【昵】丫頭。,,一、人物,一B男女老少,一B2女孩子、女青年
83,妹丁,mui6-1 deng1,【貶】丫頭（對女孩子輕蔑的稱呼）,,一、人物,一B男女老少,一B2女孩子、女青年
84,死妹丁,sei2 mui6-1 deng1,【詈】死丫頭。,,一、人物,一B男女老少,一B2女孩子、女青年
85,大姐仔,daai6 ze2 zai2,【敬】姑娘（對女青年的尊稱）。,,一、人物,一B男女老少,一B2女孩子、女青年
86,姐姐仔,ze2-4 ze2-1 zai2,同“大姐仔”。,,一、人物,一B男女老少,一B2女孩子、女青年
87,大個女,daai6 go3 neoi5-2,長大了、懂事的女孩（與不懂事的小女孩相對而言）。阿珍～喇，幫得阿媽手喇。（阿珍是大姑娘了，能給媽媽做幫手了。）,,一、人物,一B男女老少,一B2女孩子、女青年
88,女仔之家,neoi5 zai2 zi1 gaa1,姑娘家。～要規矩啲！（姑娘家要規矩點兒！）│我一個～，點好意思啊！（我一個姑娘家，怎麼好意思呢！）,,一、人物,一B男女老少,一B2女孩子、女青年
89,*公,gung1,詞尾，指人時用於成年男性。盲～（瞎子，男的）│衰～（壞傢伙，指男的）。,,一、人物,一B男女老少,一B3成年人、成年男性
90,佬,lou2,詞尾，用於成年男性，略帶貶義。高～（高個子男人）│補鞋～（補鞋匠）,,一、人物,一B男女老少,一B3成年人、成年男性
91,男人老狗,naam4 jan4 lou5 gau2,大男人（與女人相對而言）。行出嚟要似個～先得！（走出來得像個男人才行嘛！）,[此處“老狗”並無貶義],一、人物,一B男女老少,一B3成年人、成年男性
92,伯爺公,baak3 je4-1 gung1,老年男人。,,一、人物,一B男女老少,一B3成年人、成年男性
93,*阿（亞）伯,aa3 baak3,【敬】對老年男性的尊稱。,[重見一C1],一、人物,一B男女老少,一B3成年人、成年男性
94,伯父,baak3 fu2,【敬】對老年男性的尊稱（較少用於當面稱呼，多用於背稱）。嗰個～有啲耳背。（那個老大爺耳朵有點兒背。）,[也用於指父親的哥哥（與普通話相同），但一般唸不變調（第6聲）],一、人物,一B男女老少,一B3成年人、成年男性
95,*阿（亞）叔,aa3 suk1,【敬】對中年以上男性的尊稱。,[重見一C1],一、人物,一B男女老少,一B3成年人、成年男性
96,叔記,suk1 gei3,【敬】對中、老年男性的稱呼（一般是對不相識者）。唔該～，南華新街點行啊？（請問大叔，南華新街怎麼走？）,,一、人物,一B男女老少,一B3成年人、成年男性
97,世伯,sai3 baak3,【敬】【舊】舊時對通家前輩、父輩的朋友的稱呼。,,一、人物,一B男女老少,一B3成年人、成年男性
98,大人大姐,daai6 jan4 daai6 ze2,（與小孩相對而言，常用於多數）。你哋～，仲同啲細路仔霎氣？（你們這些大人，還跟小孩子慪氣？）│～咁小氣嘅！（這麼大的人這麼小氣！）,,一、人物,一B男女老少,一B3成年人、成年男性
